"","bird_id","colony","trip","trip_id","start_time","end_time","nest_attendance","trip_duration","max_dist","dest_lat","dest_long","departing_angle","dest_angle","max_speed"
"87",12656,"Oronsay",87,"87_12656",2015-05-28 15:25:53,2015-05-28 16:55:46,629.983333333333,89.8916666666667,3.26000790368489,56.052821,-6.196695,22.8280979842165,21.0418501041393,1.72892302599271
"88",12656,"Oronsay",88,"88_12656",2015-05-28 17:55:49,2015-05-28 21:25:45,60.05,209.933333333333,2.89816247387946,56.046138,-6.187168,37.2579348798323,38.3559207056497,1.39765300964206
"89",12656,"Oronsay",89,"89_12656",2015-05-29 02:25:41,2015-05-29 04:55:40,299.925,149.991666666667,4.51090647093972,56.064539,-6.19615,14.4060964808964,15.6908776151189,2.47108656162057
"90",12656,"Oronsay",90,"90_12656",2015-05-29 07:25:38,2015-05-29 08:25:40,149.966666666667,60.0333333333333,2.89641903678829,56.046732,-6.188653,36.1734585328457,36.1734585328457,1.56234769632073
"91",12656,"Oronsay",91,"91_12656",2015-05-29 17:55:31,2015-05-29 22:25:30,569.85,269.975,5.90924777218444,56.074144,-6.177577,48.0952067319538,23.7617064268676,1.11729123277829
"92",12656,"Oronsay",92,"92_12656",2015-05-30 01:55:26,2015-05-30 05:55:28,209.933333333333,240.041666666667,4.52284980514113,56.06465,-6.196148,15.119376135567,15.7723217760586,2.4575702449151
"93",12656,"Oronsay",93,"93_12656",2015-05-30 13:55:24,2015-05-30 21:55:19,NA,479.908333333333,6.05134070596686,56.075008,-6.175436,23.1644535606476,24.6361973346983,2.79309928043127
"94",12656,"Oronsay",94,"94_12656",2015-05-31 02:25:16,2015-05-31 05:25:17,269.95,180.025,4.5277715560541,56.064891,-6.197457,36.4963409118936,14.313041650782,1.25632235120313
"95",12656,"Oronsay",95,"95_12656",2015-05-31 15:25:10,2015-05-31 15:55:10,NA,30,3.24239191393127,56.002896,-6.248276,-141.936041443361,-141.936041443361,1.7549728471618
"96",12656,"Oronsay",96,"96_12656",2015-05-31 16:55:11,2015-05-31 17:25:09,60.0166666666667,29.975,2.78003584254073,56.005584,-6.242384,-143.915919050483,-143.915919050483,1.50706192675469
"97",12656,"Oronsay",97,"97_12656",2015-05-31 18:25:05,2015-05-31 21:25:04,59.925,179.991666666667,3.19165140792003,56.050389,-6.190098,35.1276761773777,29.5849216143805,1.55186519379153
"99",12656,"Oronsay",99,"99_12656",2015-06-02 03:24:52,2015-06-02 05:54:48,NA,149.941666666667,3.9883485209986,56.061283,-6.218418,-142.535146883442,-3.07714439063085,1.47603451411054
"101",12656,"Oronsay",101,"101_12656",2015-06-02 16:24:41,2015-06-02 21:54:41,NA,329.991666666667,5.11200547604981,56.06759,-6.182732,-42.37296728502,25.4328071532672,1.87559438442646
"104",12656,"Oronsay",104,"104_12656",2015-06-03 17:14:31,2015-06-03 17:44:32,NA,30.0166666666667,0.32146137086922,56.022662,-6.216447,-172.699077296187,-172.699077296187,0.137356300644051
"105",12656,"Oronsay",105,"105_12656",2015-06-03 20:44:29,2015-06-03 22:14:27,179.95,89.975,4.15401590130506,55.988309,-6.220778,154.560624389674,-175.586894505818,1.13228847352607
"106",12656,"Oronsay",106,"106_12656",2015-06-04 02:44:26,2015-06-04 04:44:22,269.975,119.941666666667,4.4524724545732,56.065409,-6.210993,19.1374237934298,3.25787897820182,1.86276472422375
"107",12656,"Oronsay",107,"107_12656",2015-06-04 13:44:22,2015-06-04 14:14:21,NA,29.9833333333333,5.63532808337878,56.07216,-6.180466,23.3975446781102,23.3975446781102,3.09625621723764
"108",12656,"Oronsay",108,"108_12656",2015-06-04 19:14:18,2015-06-04 20:44:18,299.941666666667,90,4.33410198165843,56.062517,-6.193991,18.3845743227507,18.3845743227507,2.37078114959688
"109",12656,"Oronsay",109,"109_12656",2015-06-04 21:14:18,2015-06-04 22:14:13,30,59.925,7.42030850036224,55.981863,-6.125602,141.90626448233,131.286351313529,2.44844526257328
